CommonName,Easting,Northing,SP_GEOMETRY
Holly Blue,449000,225000,System.__ComObject
Holly Blue,447100,196500,System.__ComObject
Holly Blue,444600,197900,System.__ComObject
Holly Blue,444600,197900,System.__ComObject
Holly Blue,444900,198300,System.__ComObject
Holly Blue,444700,198300,System.__ComObject
Holly Blue,444700,198300,System.__ComObject
Holly Blue,444700,198300,System.__ComObject
Holly Blue,444900,197100,System.__ComObject
Holly Blue,445000,197200,System.__ComObject
Holly Blue,445500,198200,System.__ComObject
Holly Blue,448500,215500,System.__ComObject
Holly Blue,446700,198300,System.__ComObject
Holly Blue,446700,197400,System.__ComObject
Holly Blue,444500,199500,System.__ComObject
Holly Blue,444500,199500,System.__ComObject
Holly Blue,443900,199600,System.__ComObject
Holly Blue,443800,199800,System.__ComObject
Holly Blue,444300,219400,System.__ComObject
Holly Blue,440600,214600,System.__ComObject
Holly Blue,447700,217500,System.__ComObject
Holly Blue,443000,216200,System.__ComObject
Holly Blue,443000,217000,System.__ComObject
Holly Blue,443000,217000,System.__ComObject
Holly Blue,444600,216300,System.__ComObject
Holly Blue,445200,199600,System.__ComObject
Holly Blue,444400,199200,System.__ComObject
Holly Blue,446700,198800,System.__ComObject
Holly Blue,449200,213000,System.__ComObject
Holly Blue,448200,215800,System.__ComObject
Holly Blue,448500,219000,System.__ComObject
Holly Blue,448700,221000,System.__ComObject
Holly Blue,443200,232900,System.__ComObject
Holly Blue,426100,220900,System.__ComObject
Holly Blue,425800,214000,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,424800,212400,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,424800,214900,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,441200,197700,System.__ComObject
Holly Blue,449200,197600,System.__ComObject
Holly Blue,449400,197300,System.__ComObject
Holly Blue,461300,191000,System.__ComObject
Holly Blue,425100,214300,System.__ComObject
Holly Blue,425400,204800,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,425600,211300,System.__ComObject
Holly Blue,423200,217000,System.__ComObject
Holly Blue,427500,213800,System.__ComObject
Holly Blue,427500,214300,System.__ComObject
Holly Blue,437200,186800,System.__ComObject
Holly Blue,446800,199600,System.__ComObject
Holly Blue,428460,201250,System.__ComObject
Holly Blue,428460,201250,System.__ComObject
Holly Blue,428460,201250,System.__ComObject
